"objectId","createdAt","updatedAt","description","descriptionLong","scanPoint","target","redeemTimeLength","vendorId","expireDate","latitude","longitude"
"lQXrP2wTCx","02/01/2013 05:38:17","03/04/2013 11:19:52","Free donut","Receive a free donut after any 5 purchases","","1","5","180","geeQIPYSZh","04/30/2013 15:59:00","37.4036095","-121.9955416"
"AmAEMW6YZu","02/01/2013 05:38:17","03/04/2013 11:19:56","Free appetizer","Receive a free appetizer after dining here 4 times","","1","4","180","bcyXX3p4Uh","04/30/2013 15:59:00","37.3342583","-122.0143762"
"jzcJJjzg8F","02/01/2013 05:38:17","03/04/2013 11:19:59","Free haircut","Receive a free haircut after 3 hair color treatments","","1","3","180","eP4WLioUEY","04/30/2013 15:59:00","37.352606","-122.005192"
"8a8GCIn3F8","02/01/2013 05:38:17","03/04/2013 11:20:07","Free cold dish","Receive a free cold dish after dining here 3 times","","1","3","180","54Q65pu2KK","04/30/2013 15:59:00","37.3342966","-122.0143745"
"Ifj8RdRVu9","02/01/2013 05:38:17","03/04/2013 11:20:16","Free drink","Receive a free drink after paying with cash 3 times","","1","3","180","KePt2apWWd","04/30/2013 15:59:00","37.4039074","-121.9944546"
"K5xIl5jFAr","02/01/2013 05:38:17","03/04/2013 11:20:22","Free buffet","Receive a free buffet pass after dining here 10 times","","1","10","180","KePt2apWWd","04/30/2013 15:59:00","37.4039074","-121.9944546"
"crJvfjuWn8","02/01/2013 05:38:17","03/04/2013 11:20:19","Free massage","Receive a free foot massage after getting 5 massages","","1","5","180","OIklO9utc5","04/30/2013 15:59:00","37.4035168","-121.9937776"
"TchEje3SUf","02/01/2013 05:38:17","03/04/2013 11:20:10","Free head massage","Receive a free head massage/hair wash/styling combo after purchasing 10 head massages","","1","10","180","lqNj2MI9YZ","05/31/2013 15:59:00","37.335705","-122.014341"
"qRl2XNAiBY","03/04/2013 11:21:49","03/16/2013 18:01:40","Free ultrasonic facial treatment","Receive a free ultrasonic facial treatment after 10 ultrasonic facial treatment purchases","","1","10","180","ouACEsyKPZ","06/04/2013 16:00:00","37.50031","-121.97386"
"JpNVmaxCiI","03/04/2013 11:25:20","03/16/2013 20:07:41","Free dumpling dish","Receive a free dumpling dish after dining here 5 times","","1","5","180","Ql7hcFyhBv","06/04/2013 16:00:00","37.500668","-121.973083"
"NktBzbfEte","03/04/2013 11:26:38","03/20/2013 00:25:41","$15 voucher","Receive $15 off on purchase after spending $15 here 7 times","","1","7","180","JgKJjchnPw","06/04/2013 16:00:00","37.352753","-121.990288"
"prmeLuGkVz","03/04/2013 11:26:34","03/20/2013 00:25:48","$15 voucher","Receive $15 off on purchase after spending $15 here 7 times","","1","7","180","4KOfY5emCa","06/04/2013 16:00:00","37.31542","-121.792584"
"bEeyoYHrYD","03/04/2013 11:23:26","03/16/2013 00:08:34","Free bubble tea","Receive a free bubble tea after 10 bubble tea purchases","","1","10","180","17tRvXolJf","06/15/2013 16:00:00","37.500608","-121.973001"
"FnR0h78Y9p","03/11/2013 01:05:24","03/28/2013 01:48:29","Free haircut","Get a free haircut after purchasing 10 haircuts","","1","10","180","O6bnB3k6Ch","06/25/2013 16:00:00","37.352612","-121.964061"
"uzn8kN9rv2","03/11/2013 01:03:04","03/28/2013 01:47:20","$5 gift card ","Get a $5 gift card when you purchase 10 gallons of gas 5 times","","1","5","180","hdelGhda9p","06/25/2013 16:00:00","37.396364","-121.997113"
"WDSB1jVoiY","03/11/2013 01:10:09","03/11/2013 07:15:41","Hair, Nails, Waxing, Facial Microdermabrasion","Take $15 off on the 9th visit for 8 visits with $15 minimum purchase during each visit {up to 1 year} 20% off {ends May 5th}","","1","8","180","JOxAJN1Mn5","03/01/2012 16:00:00","37.321456","-121.972037"
"t0xkHzK540","03/11/2013 01:16:37","03/29/2013 06:32:02","Free foot massage","Get a free foot massage after 5 foot massages","","1","5","180","UbuMZ0xTz0","06/25/2013 16:00:00","37.352279","-121.98216"
"LMORaT3UAP","03/13/2013 07:49:43","03/23/2013 18:45:32","Free golf or game credits","Get a free round of golf or 20 free game credits for every 10 rounds of golf. (Sunnyvale location only)","","1","10","180","IqH3s4MaBS","06/11/2013 16:00:00","37.354803","-122.015288"
"IemD4nzM8i","03/24/2013 21:50:43","03/29/2013 06:28:56","Free foot massage","Get a free foot massage after 5 body massages","","1","5","180","b6FYok6ljB","02/24/2013 16:00:00","37.302993","-122.032722"
"mPeogTpY2M","03/13/2013 08:03:16","03/29/2013 06:35:09","Free California roll","Get a free California roll on your 5th visit","","1","5","180","p0p6Q8ZOxF","03/01/2013 16:00:00","37.338796","-121.994273"
"ObXKEaYF99","03/28/2013 20:51:14","03/29/2013 06:28:28","Free haircut or nail service","Get a free haircut or a free manicure/pedicure after 10 visits","","1","10","180","ab8qdVpgjn","03/01/2013 16:00:00","37.3584249","-122.021635"
"e4PrwBMLt6","03/28/2013 19:26:25","03/29/2013 06:28:11","30% discount voucher","Get a 30% discount voucher after 5 regular price rides","","1","5","180","ZTbrQxKtuG","03/01/2013 16:00:00","37.3932272","-122.0778207"
"BFOl15phjE","03/28/2013 19:41:57","03/29/2013 07:54:18","$10 voucher","Get a $10 voucher after dining here 9 times.","","1","9","180","M0SdwevJ3G","03/01/2013 16:00:00","37.3784866","-122.0711813"
"o1LQKyuyEJ","03/29/2013 17:26:12","03/29/2013 17:32:10","20% More","Get 20% more after 3 visits","","1","3","180","iiFCeHxM0B","03/01/2013 16:00:00","37.3703446","-122.0422974"
"BikndVGYyF","03/29/2013 17:35:53","03/29/2013 17:40:27","$5 OFF ","$5 off on the 6th visit","","1","5","180","le2JbSUxKG","03/01/2013 16:00:00","37.3519814","-122.0120593"
