"objectId","createdAt","updatedAt","userId","activityType","coinChangeAmt","rewardId","pointRewardId","rewardDescription","rewardLongDescription","rewardTotalCountAfterAction","vendorId"
"KzQXwX2kBX","02/14/2013 04:02:24","02/14/2013 04:02:24","EaigEUl94x","Sign In with Facebook","10","","","","","",""
"n9klccLSYD","02/14/2013 20:22:13","02/14/2013 20:22:13","Ebk94n5wux","Sign Up","10","","","","","",""
"3cpANGgTGo","02/15/2013 20:50:33","02/15/2013 20:50:33","1A0Oxq1Wh3","Sign Up","10","","","","","",""
"lWEabGC9AH","02/15/2013 21:52:17","02/15/2013 21:52:17","MFLGtU692q","Sign In with Facebook","10","","","","","",""
"LRGHKivJnI","02/16/2013 02:46:45","02/16/2013 02:46:45","BQ2aOqX50e","Sign Up","10","","","","","",""
"ob1OAzbg1k","02/16/2013 02:50:22","02/16/2013 02:50:22","dw6d7tk3P5","Sign In with Facebook","10","","","","","",""
"K17YnLxmhe","02/16/2013 03:38:18","02/16/2013 03:38:18","x3jLXdJcfo","Sign In with Facebook","10","","","","","",""
"MPzZmx67Qi","02/16/2013 03:40:43","02/16/2013 03:40:43","BUf9r6goZ4","Sign Up","10","","","","","",""
"rPKuvq0uLP","02/16/2013 03:54:31","02/16/2013 03:54:31","aoe9vj1NWy","Sign In with Facebook","10","","","","","",""
"Xq6aX7iBdl","02/16/2013 04:35:59","02/16/2013 04:35:59","E7ZOQ2kM0w","Sign In with Facebook","10","","","","","",""
"9P3574hHCf","02/16/2013 07:00:44","02/16/2013 07:00:44","Ut7aeWz7e9","Sign Up","10","","","","","",""
"tS1zqSUK9Q","02/17/2013 01:49:54","02/17/2013 01:49:54","9F0gOp2D2T","Sign Up","10","","","","","",""
"Xj2LhcRVrt","02/19/2013 02:50:22","02/19/2013 02:50:22","VRU7DksJo3","Sign Up","10","","","","","",""
"70FEeTG7x8","02/19/2013 03:58:21","02/19/2013 03:58:21","lsJuJEMPXM","Sign Up","10","","","","","",""
"CUj3rWXhww","02/19/2013 06:12:41","02/19/2013 06:12:41","BH7hwnMKkm","Sign In with Facebook","10","","","","","",""
"uh780x4lJS","02/19/2013 20:41:06","02/19/2013 20:41:06","uO04J3c0UV","Sign Up","10","","","","","",""
"nURVd7S2x5","02/19/2013 22:35:40","02/19/2013 22:35:40","sxOjBFTqBM","Sign Up","10","","","","","",""
"a9uKMPqzMc","02/20/2013 21:30:20","02/20/2013 21:30:20","lioMy5kZhR","Sign Up","10","","","","","",""
"T0NhqjuNlC","02/21/2013 20:09:42","02/21/2013 20:09:42","Vsj6TFQJWn","Sign Up","10","","","","","",""
"c0LBvj0QZ3","02/21/2013 20:42:33","02/21/2013 20:42:33","KiBMrKRSjz","Sign In with Facebook","10","","","","","",""
"5xiYJ8ZACr","02/21/2013 21:01:37","02/21/2013 21:01:37","FEdQNOS4Js","Sign In with Facebook","10","","","","","",""
"e2Zda1sT3Q","02/22/2013 05:20:03","02/22/2013 05:20:03","4NWCDIqKOd","Sign In with Facebook","10","","","","","",""
"tXfEey0CJ1","02/22/2013 05:41:20","02/22/2013 05:41:20","8iqU4GzOmS","Sign In with Facebook","10","","","","","",""
"XhFeVljkwY","02/22/2013 16:18:16","02/22/2013 16:18:16","RS157EaMXg","Sign In with Facebook","10","","","","","",""
"heUeWsWp18","02/23/2013 02:08:58","02/23/2013 02:08:58","3vCoxybQka","Sign Up","10","","","","","",""
"lGN9XkeH1v","02/23/2013 02:56:19","02/23/2013 02:56:19","bsB0Fe29Jj","Sign Up","10","","","","","",""
"RBqXNrV1UV","02/23/2013 22:22:42","02/23/2013 22:22:42","6pM2ma3kSs","Sign In with Facebook","10","","","","","",""
"TP2tpFeyAk","02/24/2013 09:25:02","02/24/2013 09:25:02","zf4nqvcV69","Sign In with Facebook","10","","","","","",""
"u3OrOp2KHP","02/24/2013 19:59:26","02/24/2013 19:59:26","e4CTjryvy8","Sign In with Facebook","10","","","","","",""
"OGwMVffY1d","02/24/2013 22:56:29","02/24/2013 22:56:29","JnaVVXIS6G","Sign Up","10","","","","","",""
"YYNQfZjA3y","02/25/2013 00:19:18","02/25/2013 00:19:18","4zX82h5H10","Sign Up","10","","","","","",""
"cOsRM9OMpV","02/26/2013 04:06:38","02/26/2013 04:06:38","TDkq9i4Tg8","Sign Up","10","","","","","",""
"jrYNap02cx","02/26/2013 05:56:16","02/26/2013 05:56:16","BJd8B48dFo","Sign In with Facebook","10","","","","","",""
"pbAsFCxe1j","02/27/2013 07:13:26","02/27/2013 07:13:26","BH7hwnMKkm","Sign In with Facebook","10","","","","","",""
"GJD7ZJvJyu","02/27/2013 07:36:54","02/27/2013 07:36:54","w7mmmlRyKY","Sign In with Facebook","10","","","","","",""
"DR9ppPWLiV","02/27/2013 07:36:57","02/27/2013 07:36:57","w7mmmlRyKY","Sign In with Facebook","10","","","","","",""
"E7yZKUebzi","02/28/2013 04:31:07","02/28/2013 04:31:07","YQy7tVl4kG","Sign In with Facebook","10","","","","","",""
"ANEbgPlPxQ","02/28/2013 07:41:13","02/28/2013 07:41:13","QS14eW3LES","Sign Up","10","","","","","",""
"AhHm6mQK8X","03/02/2013 20:08:46","03/02/2013 20:08:46","UmyoiLlDTJ","Sign Up","10","","","","","",""
"HzjPn07QBS","03/03/2013 07:25:17","03/03/2013 07:25:17","df65vQI6uk","Facebook Invite Friends","1","","","","","",""
"chk3vXhLCG","03/03/2013 16:40:50","03/03/2013 16:40:50","G6iLMRZrMa","Sign Up","10","","","","","",""
"NtOv1jcadV","03/04/2013 16:32:53","03/04/2013 16:32:53","CLebWjR0QG","Sign In with Facebook","10","","","","","",""
"ElKZ6RKA62","03/08/2013 06:47:27","03/08/2013 06:47:27","jhR1uaLPxe","Sign In with Facebook","10","","","","","",""
"xj3mbEDJTd","02/01/2013 08:09:10","02/01/2013 08:09:10","df65vQI6uk","Sign In with Facebook","10","","","","","",""
"mlQEX2ZMYX","02/01/2013 08:43:48","02/01/2013 08:44:37","sRDpSvsv2j","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","1","KePt2apWWd"
"crT8UpKjMs","02/01/2013 08:44:37","02/01/2013 08:44:37","sRDpSvsv2j","Sign Up","10","","","","","",""
"NE8mk2iGTC","02/03/2013 23:20:24","02/03/2013 23:20:24","sRDpSvsv2j","Scanned Reward","1","crJvfjuWn8","","Free massage","Receive a free foot massage after getting 5 massages","1","OIklO9utc5"
"2kheBaqYQo","02/03/2013 23:20:46","02/03/2013 23:20:46","sRDpSvsv2j","Scanned Reward","1","TchEje3SUf","","Free cold dish","Receive a free cold dish after dining here 3 times","1","ImENfyDFm7"
"Qn6rWFqrAp","02/03/2013 23:20:51","02/03/2013 23:20:51","sRDpSvsv2j","Scanned Reward","1","8a8GCIn3F8","","Free cold dish","Receive a free cold dish after dining here 3 times","1","54Q65pu2KK"
"rlQsUKdzrY","02/03/2013 23:20:55","02/03/2013 23:20:55","sRDpSvsv2j","Scanned Reward","1","jzcJJjzg8F","","Free haircut","Receive a free haircut after 3 hair color treatments","1","eP4WLioUEY"
